Player Name,Current LP
setsuko1#NA1,1870
Dishsoap#NA2,1505
TORONTOTOKYO#NA1,1225
SpencerTFT#TFT,1165
grea#melt,1159
Phoenixaa#159,1156
prestivent#NA2,1144
wilf#011,1122
DQA#88888,1121
Aesah#NA1,1120
mogumoguyummy#Pocky,1118
robinsongz#888,1117
Brucelolll#NA1,1113
TG Upsetmax#NA1,1113
Mismatched Socks#NA2,1109
tleyds#NA1,1107
Kurumx#LQD,1107
Darth Nub#NA1,1094
Cambulee#NA1,1091
DavidAs#TFTQC,1054
k3soju1#NA1,1012
bossoskills#NA1,886
guubums#1874,1025
plumbum#NA1,1066
wasianiverson#NA2,822
Kyivix#NA1,947
Nik#0283,1003
Milk Guy#NA1,920
Lab 004 Rain#Boba,938
Appies#Spicy,937
imriveting#NA1,959
milala#milal,986
QualityHooker#NA1,776
Filup#NA1,901
Xbmots#111,936
Roontonzorg#NA1,845
Kaiweng#NA1,839
me1stor8th#518,822
Marcel P#2982,784
Protect Scroll#NA1,810
Triple8s#NA1,835
Lab 003 Broseph#NA1,799
bopster#NA1,782
GM Blue#NA1,684
Kirikaya#1414,813
RamKev#NA1,691
bertasaurus#NA1,859
Stellar Minhee#wasdq,741
casparwu#NA1,770
ReynzeR#NA1,697
Souless#001,674
emilyywang#1111,674
Pawnup#NA1,710
bandit#tft,658
Geehess#NA1,664
Lab 027 Sehnbon#LAB,662
xLilliaHoofPicsx#EEP,601
Liquid Rereplay#NA1,643
Núge#NA1,635
Spethom#NA1,630
Lab 000 DK#LAB,625
Hi Im Ted#NA2,586
Lab 005 Kayndrew#NA1,586
MEYOU#1010,581
dankmemes01#horse,576
sad kings fan#NA1,552
Syrian#NA2,538
BlakeAustin#NA1,484
Lab 010 Barney#NA1,589
ChungMoney#1212,529
Kiyoon#KEKW,612
Hurten Smile#Dread,561
PlFF#NA1,524
Ramblinnn#0001,524
Knakrack#Knak,519
Chengo#NA1,515
Kole#Seoul,514
Liquid SV#NA1,514
Carelessd#ddd,513
seihunkim#0203,510
ewwic#NA1,508
Neonify#NA1,505
Weklet#9509,503
superflamezz#NA1,503
Mean Mister Kien#NA1,444
Matty T Ice#NA1,502
Tropical#xdd,500
Ozymandias#9032,495
gravyBoop#NA1,504
Shuckhax123#NA1,471
JukeYou#NA1,467
Kindlegem#NA1,474
Camysauce#8285,472
boomiboom#boomi,436
invecTiv#NA1,493
yojicho#JJHC,484
xiao dian dian#xdd,500
Lab 018 biribiri#LAB,449
harrison#00000,417
Sunny#TFT,380
