Player Name,Player Puuid
setsuko1#NA1,8RQjWWUk9V6EHIrr4xzayvfRsm6hX5AssZ4ABcZsfsl8P_m2uT-ksfhFX1lGReXPW8-KNgJiFGNP7w
Dishsoap#NA2,GP2Pb5ATn0Z5HzMwDP9R58_WYkAODarf9NCsEY6r7iVHtlWeTVvzVgcm8b7OkCdPfUwnfViYtW6adg
TORONTOTOKYO#NA1,1CDFyX-vjQaj0Xov1VAjS03Df5YZWG2ojmF8yONVfeFjpoySq1HDuo-ZgjENe_HimGrRgDzliNJkEQ
SpencerTFT#TFT,-Ea3NePXjioitXSDfIRZR-lb95p-bkl_3KtKQJqQhugkcnqrCCvirHANNE9cb2eNWWolUPmHMYAffA
grea#melt,ZziBJVL-fKgNQqnnirwHIAS_1TtMvStsbd-m8MFPzmTfRHyG0ku0eq-drOpstA3Hyz8dnPvlpDYyZg
Phoenixaa#159,9nVllVrvVvCi-u6FBxab-sLjrEWIE4h7tPO3VS2U1qoHilzymrb9qNLySiV8DTIK0Td2dCDhjFrCzQ
prestivent#NA2,soKwDge1t-EDB2QWkkdgSCJuTReInkpsNshLE8lQf8eMgkQVc25SYfT0oFllDgI1bVVGRbFIoJcOdw
wilf#011,IKxW-s4Lr6rbT87ne4TNfJDeHk3_TWsOp8k9b-bdHDi-mayPHr3aXS_owE7EykZXVDP4C_OUY5bJqA
DQA#88888,_w6SiYsgH_DLXeHMY87QiiouwhAtWjrRjUAEASfSUucSKWG_euA9tqHpkVcF6iTFpM3uZVdjupywpg
Aesah#NA1,XM4HWtWyEgMdqBENZL5625T4bZKm3tpcwGWeKZ40p4HQ4KaqsaOa2i0RHjMN1mQaQbXMMMW1ftHnVA
mogumoguyummy#Pocky,_HcoETT2GoABYlRTnzMIQytVmqNqr67PjUkhVuvwTSgHIRQMHEMvpCuya1itDR-Rbrq8Lxy3LIKFYA
robinsongz#888,wZZqRxqRkmMAv0no6aUnIdM-hpix6z8jFbNHG_lqOc3toDkTm3twES39JxDMFHHM4tl_zUmIdgSnYQ
Brucelolll#NA1,Qr5dPZy1-5MPJSbey_YREMKHpgkWgy2EWXF2Ou_lAc4D9RTOtbaJMDJXhvjeRvwgm_57VJqrxXaNzg
TG Upsetmax#NA1,dPa5VmcC_un6GvR7bu-sr1ihSFHjujQFjewhjC4vbXSbnYJ3JRA7Xn1waeNtdeo_cbqMupXmDjpdVA
Mismatched Socks#NA2,dQeCIQALoQdp4FbnwKGPVTSHzwf775WI1CQFXjMAd4nW4cYoFnz2old9tVQQa_llbubF203k9OdysQ
tleyds#NA1,W9yKaHl-pStNoC_0q_uBkh6gcKNbn86AdSkxoMh4rZBWBTdSeB-g3EKi8qdX0IU0xItdz8YfkD9nVQ
Kurumx#LQD,QQD8AT6Nzbhjizn6RubOxrIwbMm1emoJNfjEL8LDBVLkL_NxhLZ7xcSpmuukJld-wcvJ99qvk3QV2w
Darth Nub#NA1,dYdcqbKRcLGRsM1Q0HYskgrQ-5L4DtPmMs4FEbTl1wQye5uMDirD85OpGSrJoA0M8UtGJYn8yY7UWA
Cambulee#NA1,d5hfQ2YNpvC3kjzfhyPq-VvMytdUAxe_TEnqgYvHoswLHdfQjFiJAA5FSvWXXE00C40e6k3_vC1znA
DavidAs#TFTQC,-W827EVhgBI6jzCVNiaOwqzKziV1c8aQCCnqhlvHMoI8G3Nq59VGl8ONlj6h0V3lBxuOKrPpJl_pzQ
k3soju1#NA1,q2LOqO3oPFp37aO-HZJEvksUI5WWFC0WO3zotu49ZoPhwC4NyOrdOHdQQ9LhVTxXjXXNT9SjQV9C6A
bossoskills#NA1,ls9Fxntu2ETC8ddri3Qe0AxKZFKcEsnO4lv7q1pGOtMmge0ZwEqVFh1LLorHZGbumVxbLPEIvwKodQ
guubums#1874,vRm3-R5GKenChEnTk9CIYoRobQ308tCL94f78QWVhSQ8fLLdRQCcWgVw2v0XDt9nW3fRmMPTG_unhA
plumbum#NA1,7TIdNUQEGytD9IdmGzw296WXPVyW7rJWK89hAByRHVepdJz_la4pOU00GhNiqNC4MJxlxPEGKN0jbg
wasianiverson#NA2,_ZwLnot9khs-w3X4hmKYhcsUa3tKmyQGSfA6n2xnCtGu1GyxZCYcZAnaUaj6KHf4-C4hiQ4iF-V3OA
Kyivix#NA1,WkiiiJhgal4xBQBQMrjV-QHm9EDf-rLyDpdYySHuNAvM8kTG1temmXkV4Qu_3Ks90d53LNUEsHsaCA
Nik#0283,xWxR5rPq8kpqDoS_bsGYSBsUfXoGGz9hAAAr0jFKjKHZh07iggS79eAfL_u297PQjOuk2nwtyArYUQ
Milk Guy#NA1,JpGXDEyRGjmhNQRsRfeL2y66lFT4UcS63UFcvlDxoyzgTjPyJHTOGrAZH8tuNGNaVQq4Bi77SsFSTA
Lab 004 Rain#Boba,pkUwydpmSRIKVRRXWUQNpY9I4nSjKSh9NSAoa2VUrrZTfwx-c0PQULGOQYezppy15yqJ6KkTVlwGWg
Appies#Spicy,NhMWeZkPgMmQyUfA6eFl2xQjkGl4AFuHTl2S_0OAD7sNOs2V5YA9K6Cyw0AJhnLZy6fGIjZNPDcjeg
imriveting#NA1,ZbUvQqtVcOm1ogWf8H1QtsIyu1I7Q-O7yWzcYg2IJH0oJ0kUmZFno6T2apUzhmQ_YU1IzjnTd3PabQ
milala#milal,Vqi_0ZEGe5PSQRZb3XeBr9G9sFjblksLktzQSLWsKxF5U-64zpmpF2paVsDP3lx_6MN_aObijgVFsA
QualityHooker#NA1,yn68lUSEA1Rxb0iOiVLAqaTgOFdSOBD1tEd3l8oIyOAgqFgWG5qbcWrevCRAN3YZrr-EUd4D-KUnNQ
Filup#NA1,ujkNFu205L-KIMnnZXzapFgNuXoJ6KQMFfIDGb2FqOOOvNLBKhkAspLN6d9xO7JlLoLDmQCSNyZLpQ
Xbmots#111,snnSYqZdF0cvrY3_P8a-N2DX1ea5PPuroaM3njM0gQh6WsOk0FtG-ITVpB-uq2poSMzWiLighw7o7w
Roontonzorg#NA1,_F8-tuTz8ZkslZkMBvV79jCafBbKOOsDxHhZLiamlc-HamdYqHAfqHQw1dcx1UmQENIn1D4_t-Mc2w
Kaiweng#NA1,j3YYSUPpWg9nP08kFx87SRzMG7XLOqsSqGKHEMeIc_K1xSzHv9Lcbwt_Ts8O_jRKlrv42RE16xz8sA
me1stor8th#518,UStxyAcLuUSEbTk2Pv8MeO_ON-sBr-bGDFQMak0qxbl4baZ6mEZzE3m94fzVfRyxuCUAt8CcKmH0BQ
