Player Name,Current LP
setsuko1#NA1,1870
Dishsoap#NA2,1505
TORONTOTOKYO#NA1,1225
SpencerTFT#TFT,1165
grea#melt,1159
Phoenixaa#159,1156
prestivent#NA2,1144
wilf#011,1122
DQA#88888,1121
Aesah#NA1,1120
mogumoguyummy#Pocky,1118
robinsongz#888,1117
Brucelolll#NA1,1113
TG Upsetmax#NA1,1113
Mismatched Socks#NA2,1109
Kurumx#LQD,1107
tleyds#NA1,1107
Darth Nub#NA1,1094
Cambulee#NA1,1091
plumbum#NA1,1066
DavidAs#TFTQC,1054
guubums#1874,1025
k3soju1#NA1,1012
Nik#0283,1003
milala#milal,986
imriveting#NA1,959
Kyivix#NA1,947
Lab 004 Rain#Boba,938
Appies#Spicy,937
Xbmots#111,936
Milk Guy#NA1,920
Filup#NA1,901
bossoskills#NA1,886
bertasaurus#NA1,859
Roontonzorg#NA1,845
Kaiweng#NA1,839
Triple8s#NA1,835
me1stor8th#518,822
wasianiverson#NA2,822
Kirikaya#1414,813
Protect Scroll#NA1,810
Lab 003 Broseph#NA1,799
Marcel P#2982,784
bopster#NA1,782
QualityHooker#NA1,776
casparwu#NA1,770
Stellar Minhee#wasdq,741
Pawnup#NA1,710
ReynzeR#NA1,697
RamKev#NA1,691
GM Blue#NA1,684
Souless#001,674
emilyywang#1111,674
Geehess#NA1,664
Lab 027 Sehnbon#LAB,662
bandit#tft,658
Liquid Rereplay#NA1,643
Núge#NA1,635
Spethom#NA1,630
Lab 000 DK#LAB,625
Kiyoon#KEKW,612
xLilliaHoofPicsx#EEP,601
Lab 010 Barney#NA1,589
Hi Im Ted#NA2,586
Lab 005 Kayndrew#NA1,586
MEYOU#1010,581
dankmemes01#horse,576
Hurten Smile#Dread,561
sad kings fan#NA1,552
Syrian#NA2,538
ChungMoney#1212,529
PlFF#NA1,524
Ramblinnn#0001,524
Knakrack#Knak,519
Chengo#NA1,515
Kole#Seoul,514
Liquid SV#NA1,514
Carelessd#ddd,513
seihunkim#0203,510
ewwic#NA1,508
Neonify#NA1,505
gravyBoop#NA1,504
Weklet#9509,503
superflamezz#NA1,503
Matty T Ice#NA1,502
Tropical#xdd,500
xiao dian dian#xdd,500
Ozymandias#9032,495
invecTiv#NA1,493
BlakeAustin#NA1,484
yojicho#JJHC,484
Kindlegem#NA1,474
Camysauce#8285,472
Shuckhax123#NA1,471
JukeYou#NA1,467
TheMagykal#NA1,459
rudyr#NA1,453
Lab 018 biribiri#LAB,449
Mean Mister Kien#NA1,444
JACOB ELORDI FAN#j4c0b,443
